sentence	sentence_id	locale	reason
صدای گرفته و زخمتی به گوش می رسد	e1aa2d73c8719c1310567dec97224c2fa68a743668f1bd459f92b114fee501a4	fa	grammar-or-spelling
ابا کلید پورشتُ بده	d8dd29f995aff5e8b1c920974e02a12828fd1b5eac19a46683a9a66300a51031	fa	difficult-pronounce
یادداشت‌های مشهور امروز که بعدها بسیار مفید وافع شد مثل کومی باید باشیم	03bc91bc5d0a8cbf9f54ff5ed3abe1d8499fb550e0b722f9af6fe7493cf6b341	fa	grammar-or-spelling
صمیم گرفتم کارهای بزرگتر انجام دهم	86f4c91aab2e701694c904eae9445df4502df4cfe32189ca4f7c5e57329ab1a9	fa	grammar-or-spelling
در تصویر زیر در چپ، استنس لاولفچنکو، در وسط لاتیس لاویتمن و در راست، یوری بزمینوف را مشاهده می‌کنید	8ed88a4aa144257cb1c44c474babad9ea6ebefa0cff6ac5213a022083c2eddc4	fa	difficult-pronounce
زمانیکه دوست من دوگ کونانت در سال ۲۰۰۱ مدیرعامل شرکت سوپ کمپل شد	2d97e11cb89321a3d50f5d5936a18755f35fd993efd440fba3a178ef99eeae84	fa	difficult-pronounce
نه یه وسیله سرگرمی که	7eb82879f1e77b791757d685213065b47d49b0eeacc1fcef733ce047434c69e1	fa	grammar-or-spelling
پاتریک کوینلن، مدیرعامل سابق اوچنر هِلس [سیستم]، درمورد تاثیرات روش 10-5 خودشان به من گفت	cc7dee1daec91755bf582e393243df0a5b4dfa4c4d6febdc5a7ecdbf946c0b98	fa	different-language
هنگامی که سراغ بار سبزیجاتش رفت تا انها را به دوش بگیرد و به راهش دامه دهد.	53fec0dbde5161c25fcb6247b0063e090d8ddf464deebf92de62a77cf203f2b4	fa	grammar-or-spelling
تو هم اون گرما رو درای	51f05d27bd5bdc08414d3850e8748b94aa87ace5428cf8ff53ff6a8ee2805485	fa	grammar-or-spelling
 و به جوایزی مانند، بهترین مکان برای کار دست پیدا کردند	49f02ae1c8799002ff75b4e35764b21611e6a5565719c5f29d4c223939305a69	fa	grammar-or-spelling
منتظرم که آبنبات بکیرم	4bfff829e1fb6c35ee5ad503a1ff32a5a2ca98131165d988e26411f8e6782bb3	fa	offensive-language
منتظرم که آبنبات بکیرم	4bfff829e1fb6c35ee5ad503a1ff32a5a2ca98131165d988e26411f8e6782bb3	fa	grammar-or-spelling
منتظرم که آبنبات بکیرم	4bfff829e1fb6c35ee5ad503a1ff32a5a2ca98131165d988e26411f8e6782bb3	fa	????? => ?????.
گـلای آزالیا مو می خوره	5a4b56ae4eabf3eba2c37d2475fe27b7b25473c6034013c81e5d5f9a34dbaab6	fa	difficult-pronounce
وابسته‌ها، مجوزها و جانشینان‌های آن غیر قابل جبران که یعنی شما نمی توانید نظر خود را تغییر دهید 	73736fee7b4c55e1b16f93afb0449e4101eb59d0b83ad405df002dd125aa6d1d	fa	grammar-or-spelling
اکنون شهروندان جهان دارند پی برده‌اند که با خطرهای فزاینده زیست‌محیطی روبرو هستیم	7f7ac902974bfd4e2cba4ace6a2751e6b5c4876d5f9395e03846381eccd9bc0e	fa	grammar-or-spelling
یک مقاله چاپ‌شده در شوری ادعا می‌کند ویروسی که باعث ایدز می‌شود	c9bfaf2d15128fcdf84d6323e7cd95562377837425d301c6300efe28e3aa67d7	fa	grammar-or-spelling
ازاده اصلا برو توی همون اتاق بهش بده.	8d1f03ae99686b7c07080a79ddf29409ccdfec93c1a2b60abe1f9a0ed1a20016	fa	offensive-language
زاهدی کیسه ای گندم نزد آسیابان برد	95f7cb191107850ff652365f728ddb341205bfa2d3138aa7b7961fda2544c31a	fa	grammar-or-spelling
و همشو مدیون سکس هستیم	869362132b2a00a16cbeae9abbb3e09bd17953b691d03ebf2508a2f5f56f39a2	fa	offensive-language
معذرت میخوام، باد تو؟	652a37834cc4a6f447953e5bc284d272a177ff5812b19d16810f2153dc137a8a	fa	grammar-or-spelling
من کنکور رو دادم بعده کنکور خیلی خشحال بودم چون امتحان رو عالی دادم	2c9f5e5becd73e41b7c806fcda472b1b1ab5503e53f34d76ca5f297f986442ba	fa	grammar-or-spelling
شایدم پیامبرمم و خودم خبر ندارم	6cb38f7ae597e885aec154496cd864a67c3f286fc7711a4b84832f4f77adbb0f	fa	grammar-or-spelling
از علی علیه فورمن	7393d72ac4bbf8e079f9b1583295658b035f9fcc6609f7430bb2f669bcb55bce	fa	understandable
خودت می خوای نصب کنی ؟	98935e1f8bcf4edc3b486cf1011ef6db9b2db5c6726b7df469fb57332495dc42	fa	grammar-or-spelling
من عاشق مونیکای مستم	75b1066a209a515d378adc1ca17dc2484c77434ff71b8f73ba0032aca5020644	fa	grammar-or-spelling
شایدم پیامبرمم و خودم خبر ندارم	6cb38f7ae597e885aec154496cd864a67c3f286fc7711a4b84832f4f77adbb0f	fa	grammar-or-spelling
. نزدیک و صمیمی و	9f7fb1c092f30c03c3105d700d931b68e76a57d136b583300b8b80cb37182ea0	fa	offensive-language
آره، همونی که تو میگیی	ac65c19156bf41f6aeda5253f1c21812f2006543acb4d3585ac1aeb7c3ff6ae9	fa	grammar-or-spelling
صمیم گرفتم کارهای بزرگتر انجام دهم	86f4c91aab2e701694c904eae9445df4502df4cfe32189ca4f7c5e57329ab1a9	fa	grammar-or-spelling
من از یکی از همکاران خواستم بیرون با گوشی هوشمند خود بایستد، و او متصل شود، و برای اینکه این را کمی ترسناک‌تر کنیم … (خنده) اجازه بدهید ببینیم بچه‌ها چه چیزهایی را  می‌توانند در امنیت اتاق‌شان از کایلا بشنوند	fb97789a6edec795c49f0da8a4fc9d4ee93684ac2ae6f4ed96ffe5e354aac095	fa	The Text is long But it won't let me record it saying that the recorded Voice is too long
اولا دنبال یه آدم کردن	da97d96dbd186d174086312a0a7e45d43678f3a3976ed7cf25b2c407b70edb3e	fa	difficult-pronounce
نزدیک دیگه چه مزخرفیه	08230242ffb7238291e3c5b1bf081a6dd4cc66fe0af63515e57ca7b23eea300d	fa	grammar-or-spelling
هاورد باهاتون صحبت کنم	3ce6d9b6640f5e504cc3f31701872107f115300c1e0720b18da52c266f4d78da	fa	grammar-or-spelling
متاسفانه بازار کتاب کودک پر است از این دست مفاهیم آزارنده	2b8b1b4f95f3b5f1019c4ec30ddd16283787be44063d3b5e8a3b48a1e303a2bd	fa	grammar-or-spelling
هنگامی که سراغ بار سبزیجاتش رفت تا انها را به دوش بگیرد و به راهش دامه دهد.	53fec0dbde5161c25fcb6247b0063e090d8ddf464deebf92de62a77cf203f2b4	fa	grammar-or-spelling
اوه ، اون با نمکه فیبز	5e8456bb67228ef73b860797f2a08723fdd32f17e79a2e30729862ce6e69ee77	fa	grammar-or-spelling
چاپگر، با قدرت زوم تا چعر برابر	59424922005eca5b5130393fa6585e1e5d149b0d2d9e2af0a35830745a5efe51	fa	grammar-or-spelling
تو واقعا چی بهش گفتی ؟	6498e03c2d79dec9bb3a6f168d6cc5f7f8094c5123b8929291cfc1d1ca7d256a	fa	difficult-pronounce
تو چرا اینقدر نیکی جمع نکنی؟	7f95adf1737b37749b995b44764b3eb0656fbe54654a96055c265eaa5d85a9c3	fa	grammar-or-spelling
حسن، قصه نخور من نجاتت میدم	658b1f4a5814a4984522ae611387ce44ee70cae40b861d275a1723d76c497e0d	fa	grammar-or-spelling
